"Login ID","Shift Start","Shift End","Logged Time","Break (t)","Appointments (#)","Ready:Talk Time","Ready:Wrap Time"
"w romo","Apr 5 8:48AM","Apr 5 12:03PM","2 hours 56 min.","7 min. 11 s.","-","46 min. 7 s.","50 min. 5 s."
"pr roque","Apr 5 7:14AM","Apr 5 1:11PM","5 hours 57 min.","1 hours 3 min.","5","2 hours 36 min.","43 min. 29 s."
"sp galloway1","Apr 5 6:37AM","Apr 5 1:11PM","6 hours 15 min.","1 hours 35 min.","2","2 hours 26 min.","13 min. 50 s."
"sp chris","Apr 5 7:10AM","Apr 5 12:35PM","5 hours 25 min.","49 min. 22 s.","6","2 hours 17 min.","35 min. 31 s."
"w even","Apr 5 7:03AM","Apr 5 1:11PM","6 hours 8 min.","54 min. 42 s.","3","2 hours 48 min.","30 min. 56 s."
"sp lorenza","Apr 5 7:13AM","Apr 5 1:11PM","5 hours 50 min.","1 hours 1 min.","3","2 hours 34 min.","12 min. 9 s."
"sp quinones","Apr 5 6:58AM","Apr 5 1:11PM","6 hours 7 min.","1 hours 16 min.","4","2 hours 22 min.","34 min. 25 s."
"w jair","Apr 5 7:10AM","Apr 5 1:11PM","6 hours 2 min.","25 min. 25 s.","4","2 hours 56 min.","35 min. 20 s."
"w towers","Apr 5 6:46AM","Apr 5 1:11PM","6 hours 26 min.","35 min. 29 s.","7","3 hours 8 min.","33 min. 9 s."
"sp ramon","Apr 5 7:06AM","Apr 5 1:11PM","6 hours 6 min.","1 hours 31 min.","6","2 hours 2 min.","16 min. 21 s."
"w macias","Apr 5 7:12AM","Apr 5 1:11PM","5 hours 38 min.","29 min. 29 s.","2","1 hours 50 min.","1 hours 42 min."
"w megan","Apr 5 6:52AM","Apr 5 1:11PM","6 hours 19 min.","52 min. 27 s.","2","2 hours 16 min.","1 hours 8 min."
"w murillos","Apr 5 7:23AM","Apr 5 9:54AM","2 hours 31 min.","1 min. 46 s.","1","1 hours 23 min.","22 min. 0 s."
"sp adrian","Apr 5 6:53AM","Apr 5 1:11PM","6 hours 1 min.","1 hours 18 min.","6","2 hours 42 min.","28 min. 18 s."
"w nancy","Apr 5 8:51AM","Apr 5 1:11PM","3 hours 50 min.","48 min. 36 s.","1","55 min. 59 s.","45 min. 32 s."
"pr josiah","Apr 5 7:15AM","Apr 5 1:11PM","5 hours 57 min.","1 hours 4 min.","3","2 hours 31 min.","35 min. 50 s."
"sp smith","Apr 5 7:09AM","Apr 5 1:11PM","5 hours 52 min.","1 hours 42 min.","5","1 hours 59 min.","37 min. 22 s."
"w edwin","Apr 5 6:30AM","Apr 5 1:11PM","6 hours 16 min.","30 min. 0 s.","3","2 hours 20 min.","1 hours 44 min."
"w raul","Apr 5 7:00AM","Apr 5 10:01AM","3 hours 1 min.","17 min. 57 s.","3","1 hours 30 min.","12 min. 1 s."
"w nico","Apr 5 6:44AM","Apr 5 9:57AM","3 hours 9 min.","49 min. 45 s.","-","49 min. 0 s.","44 min. 57 s."
"w yarag","Apr 5 6:27AM","Apr 5 8:12AM","1 hours 45 min.","1 hours 42 min.","-","23 s.","6 s."
"sp cruz","Apr 5 6:46AM","Apr 5 1:11PM","6 hours 26 min.","1 hours 42 min.","-","2 hours 18 min.","22 min. 59 s."
"w coronado","Apr 5 6:27AM","Apr 5 1:11PM","6 hours 44 min.","1 hours 25 min.","5","1 hours 58 min.","31 min. 15 s."
"sp art","Apr 5 7:44AM","Apr 5 1:11PM","5 hours 26 min.","-","4","-","-"
"sp david","Apr 5 7:12AM","Apr 5 1:11PM","5 hours 20 min.","1 hours 52 min.","-","1 hours 29 min.","56 min. 22 s."
"sp gerard","Apr 5 6:43AM","Apr 5 1:11PM","6 hours 29 min.","1 hours 55 min.","4","1 hours 57 min.","18 min. 27 s."
"sp frisco","Apr 5 7:10AM","Apr 5 1:11PM","6 hours 1 min.","1 hours 30 min.","1","2 hours 9 min.","24 min. 24 s."
"sp brian","Apr 5 7:17AM","Apr 5 1:11PM","4 hours 39 min.","2 hours 17 min.","1","1 hours 5 min.","12 min. 49 s."
"sp allan","Apr 5 7:14AM","Apr 5 11:57AM","4 hours 43 min.","33 min. 56 s.","5","1 hours 50 min.","32 min. 33 s."
"sp jennifer","Apr 5 6:45AM","Apr 5 12:20PM","4 hours 48 min.","23 min. 17 s.","2","1 hours 11 min.","1 hours 52 min."
"sp zambo","Apr 5 7:19AM","Apr 5 1:11PM","5 hours 37 min.","1 hours 8 min.","4","2 hours 0 min.","30 min. 8 s."
"sp tom","Apr 5 6:47AM","Apr 5 12:01PM","5 hours 8 min.","1 hours 23 min.","5","1 hours 39 min.","31 min. 57 s."
"sp jerry","Apr 5 6:30AM","Apr 5 1:11PM","6 hours 42 min.","1 hours 29 min.","13","2 hours 40 min.","42 min. 33 s."
"sp kyle","Apr 5 7:12AM","Apr 5 1:11PM","5 hours 59 min.","1 hours 12 min.","1","1 hours 36 min.","56 min. 28 s."
"pr alberto","Apr 5 6:37AM","Apr 5 1:11PM","6 hours 35 min.","1 hours 15 min.","6","2 hours 35 min.","29 min. 48 s."
"sp topete","Apr 5 7:43AM","Apr 5 1:11PM","5 hours 29 min.","49 min. 0 s.","2","2 hours 6 min.","30 min. 3 s."
"sp nelson","Apr 5 6:41AM","Apr 5 1:11PM","5 hours 28 min.","52 min. 23 s.","4","2 hours 10 min.","25 min. 57 s."
"sp joash","Apr 5 7:13AM","Apr 5 1:11PM","5 hours 59 min.","2 hours 3 min.","7","2 hours 1 min.","25 min. 21 s."
"pr ricardo","Apr 5 7:13AM","Apr 5 1:11PM","5 hours 59 min.","43 min. 57 s.","6","2 hours 16 min.","55 min. 4 s."
"sp vic","Apr 5 6:33AM","Apr 5 1:11PM","6 hours 32 min.","8 min. 16 s.","2","3 hours 12 min.","47 min. 1 s."
"pr jossa","Apr 5 6:30AM","Apr 5 11:13AM","4 hours 30 min.","24 min. 35 s.","-","1 hours 51 min.","24 min. 20 s."
"sp omar","Apr 5 7:15AM","Apr 5 1:11PM","5 hours 57 min.","1 hours 43 min.","2","2 hours 7 min.","30 min. 50 s."
"sp alec","Apr 5 7:13AM","Apr 5 1:11PM","5 hours 59 min.","16 min. 21 s.","10","2 hours 38 min.","59 min. 33 s."
"sp ever","Apr 5 7:09AM","Apr 5 1:11PM","5 hours 54 min.","56 min. 9 s.","5","2 hours 18 min.","35 min. 52 s."
"w jerrel","Apr 5 7:11AM","Apr 5 1:11PM","5 hours 7 min.","16 min. 22 s.","-","2 hours 19 min.","37 min. 36 s."
"w judith","Apr 5 7:15AM","Apr 5 1:10PM","5 hours 33 min.","1 hours 7 min.","2","2 hours 11 min.","9 min. 43 s."
"sp ignacio","Apr 5 8:42AM","Apr 5 1:11PM","4 hours 30 min.","1 hours 4 min.","-","51 min. 28 s.","1 hours 31 min."
"sp malo","Apr 5 7:12AM","Apr 5 1:11PM","5 hours 43 min.","1 hours 32 min.","2","1 hours 29 min.","1 hours 1 min."
"sp baez3","Apr 5 6:25AM","Apr 5 1:11PM","6 hours 46 min.","1 hours 10 min.","7","2 hours 34 min.","32 min. 3 s."
"sp brayan","Apr 5 6:57AM","Apr 5 1:11PM","6 hours 14 min.","46 min. 27 s.","6","3 hours 2 min.","16 min. 45 s."
"sp ernest","Apr 5 6:27AM","Apr 5 1:11PM","4 hours 38 min.","34 min. 1 s.","2","1 hours 45 min.","15 min. 13 s."
"w medina","Apr 5 6:59AM","Apr 5 1:11PM","6 hours 4 min.","44 min. 35 s.","1","2 hours 44 min.","51 min. 57 s."
"sp miles","Apr 5 6:42AM","Apr 5 1:11PM","6 hours 2 min.","35 min. 55 s.","-","1 hours 45 min.","1 hours 1 min."
"w duha","Apr 5 6:56AM","Apr 5 1:11PM","3 hours 2 min.","-","2","59 min. 23 s.","6 min. 30 s."
"w ragb","Apr 5 6:36AM","Apr 5 12:46PM","6 hours 10 min.","37 min. 12 s.","1","2 hours 53 min.","19 min. 41 s."
"","Apr 5 6:25AM","Apr 5 1:11PM","433 hours 39 min.","77 hours 45 min.","227","158 hours 9 min.","51 hours 2 min."
