"Login ID","Shift Start","Shift End","Logged Time","Break (t)","Appointments (#)","Ready:Talk Time","Ready:Wrap Time"
"a jimbo","Apr 5 6:45AM","Apr 5 1:12PM","7.284","0.739","-","2.117","1.117"
"n steve","Apr 5 8:21AM","Apr 5 1:12PM","6.750","1.434","3","1.367","0.491"
"n gil","Apr 5 7:04AM","Apr 5 1:06PM","8.484","0.763","2","2.050","0.872"
"n aldana","Apr 5 7:11AM","Apr 5 1:12PM","6.967","0.940","3","2.434","0.777"
"a mirez","Apr 5 7:14AM","Apr 5 1:12PM","5.984","-","4","2.317","1.384"
"n razura","Apr 5 7:07AM","Apr 5 12:50PM","7.200","1.517","7","1.950","0.650"
"n torre","Apr 5 7:07AM","Apr 5 1:12PM","7.700","1.450","7","1.900","0.837"
"a abraham","Apr 5 6:58AM","Apr 5 1:12PM","6.934","0.687","-","2.684","0.641"
"e samah","Apr 5 7:01AM","Apr 5 1:12PM","9.250","0.376","1","1.867","0.461"
"a guerrero","Apr 5 7:16AM","Apr 5 1:12PM","6.617","0.712","4","2.467","1.034"
"a espinoza","Apr 5 7:05AM","Apr 5 1:08PM","7.284","1.067","-","2.050","0.607"
"e khtob","Apr 5 7:25AM","Apr 5 1:12PM","6.367","0.581","5","2.200","0.782"
"n gio","Apr 5 7:12AM","Apr 5 1:12PM","8.034","1.350","3","2.200","0.845"
"e yali","Apr 5 7:44AM","Apr 5 1:12PM","5.817","0.341","4","1.967","1.217"
"e qutub","Apr 5 8:09AM","Apr 5 1:12PM","1.734","1.034","1","0.335","0.092"
"n tina","Apr 5 6:48AM","Apr 5 1:12PM","6.850","0.855","2","2.150","1.284"
"a chamu","Apr 5 7:16AM","Apr 5 1:12PM","6.834","0.674","2","1.484","0.412"
"n hoods","Apr 5 7:03AM","Apr 5 1:12PM","7.450","1.200","4","2.350","0.679"
"e nasr","Apr 5 8:49AM","Apr 5 12:00PM","2.834","-","3","0.887","0.469"
"a jonas","Apr 5 7:09AM","Apr 5 1:12PM","7.134","1.084","3","2.317","0.773"
"n real","Apr 5 7:10AM","Apr 5 1:12PM","7.067","0.988","5","2.400","0.716"
"e don","Apr 5 10:12AM","Apr 5 1:12PM","2.900","-","-","1.350","0.597"
"e angel","Apr 5 7:45AM","Apr 5 1:12PM","3.667","0.596","1","1.217","0.733"
"e diab","Apr 5 6:43AM","Apr 5 11:36AM","5.517","0.613","3","2.184","0.416"
"a aliva","Apr 5 8:55AM","Apr 5 8:58AM","0.040","-","-","-","-"
"e hassan","Apr 5 8:28AM","Apr 5 1:12PM","4.734","-","-","-","-"
"a alejandro","Apr 5 7:15AM","Apr 5 1:12PM","6.700","0.750","4","2.217","0.958"
"n aguilar","Apr 5 7:07AM","Apr 5 1:12PM","6.767","1.317","1","2.134","0.736"
"e khalifa","Apr 5 7:12AM","Apr 5 11:16AM","3.617","-","2","1.650","0.757"
"e gamal","Apr 5 10:05AM","Apr 5 1:12PM","3.500","0.505","2","1.350","0.487"
"a ochoa","Apr 5 7:09AM","Apr 5 1:12PM","6.800","0.742","2","2.184","0.994"
"a reynaldo","Apr 5 7:18AM","Apr 5 11:00AM","4.617","0.452","1","1.484","0.586"
"n william","Apr 5 6:42AM","Apr 5 1:12PM","7.317","0.801","1","2.600","0.906"
"e abozaiod","Apr 5 10:50AM","Apr 5 1:12PM","2.434","0.044","1","1.134","0.446"
"e hosein","Apr 5 1:01PM","Apr 5 1:06PM","0.082","-","-","0.049","0.001"
"","Apr 5 6:39AM","Apr 5 1:12PM","370.650","43.034","128","114.917","49.284"
